0.7018,0.100000,10,1,12.077,;  
0.6275,0.100100,10,1,12.969,;  
0.7933,0.100200,10,1,11.953,;  
0.7411,0.100300,10,1,13.182,;  
0.7598,0.100400,10,1,12.102,;  
0.6536,0.100500,10,1,12.883,;  
0.7441,0.100600,10,1,12.030,;  
0.7837,0.100700,10,1,12.223,;  
0.7566,0.100800,10,1,12.391,;  
0.7362,0.100900,10,1,12.292,;  
0.7449,0.101000,10,1,11.994,;  
0.7542,0.101100,10,1,12.703,;  
0.7855,0.101200,10,1,11.937,;  
0.7411,0.101300,10,1,12.177,;  
0.7311,0.101400,10,1,12.307,;  
0.7263,0.101500,10,1,12.155,;  
0.7944,0.101600,10,1,11.898,;  
0.7795,0.101700,10,1,12.790,;  
0.7376,0.101800,10,1,12.025,;  
0.7588,0.101900,10,1,12.228,;  
